Initial condition file for Si3D model  - 
Stratification for Clear Lake          - 
Simulation starting on 2022-07-9 03:00:00 - 
Depths (m) not used;  Temp (oC);  WQ [mg/m3], SS [mg/m3], Hg [ng/m3], Tracers (M/V) --> - 
Source: From CTD_Profile
         z          T         TR        DO        PON        DON        NH4        NO3        POP        DOP        PO4        POC        DOC       ALG1        SS1        Hg0       HgII       MeHg
     -4.25    26.4688     0.0000  6468.7500    53.9248   655.3341     5.3831     1.6100    18.4378    29.4900   367.6291   360.0688  5670.6970   900.0000     0.0000     0.0000     0.0000     0.0000 
     -4.75    26.4062     0.0000  6406.2500    53.6077   656.3922     5.6494     1.6100    18.6063    29.3300   370.7172   340.3255  5640.8951   900.0000     0.0000     0.0000     0.0000     0.0000 
     -5.25    26.3438     0.0000  6343.7500    53.2905   657.4503     5.9156     1.6100    18.7748    29.1700   373.8053   320.5822  5611.0933   900.0000     0.0000     0.0000     0.0000     0.0000 
     -5.75    26.2812     0.0000  6281.2500    52.9734   658.5084     6.1819     1.6100    18.9433    29.0100   376.8934   300.8389  5581.2914   900.0000     0.0000     0.0000     0.0000     0.0000 
     -6.25    26.2188     0.0000  6218.7500    52.6562   659.5666     6.4481     1.6100    19.1118    28.8500   379.9816   281.0956  5551.4896   900.0000     0.0000     0.0000     0.0000     0.0000 
     -6.75    26.1562     0.0000  6156.2500    52.3391   660.6247     6.7144     1.6100    19.2803    28.6900   383.0697   261.3523  5521.6877   900.0000     0.0000     0.0000     0.0000     0.0000 
     -7.25    26.0938     0.0000  6093.7500    52.0219   661.6828     6.9806     1.6100    19.4487    28.5300   386.1578   241.6090  5491.8859   900.0000     0.0000     0.0000     0.0000     0.0000 
     -7.75    26.0312     0.0000  6031.2500    51.7047   662.7409     7.2469     1.6100    19.6172    28.3700   389.2459   221.8658  5462.0840   900.0000     0.0000     0.0000     0.0000     0.0000 
     -8.25    25.2500     0.0000  5500.0000    49.2570   662.3937    13.8500     1.6600    19.3404    28.6837   396.5700   192.9179  5452.4068   900.0000     0.0000     0.0000     0.0000     0.0000 
     -8.75    23.7500     0.0000  4500.0000    44.6787   660.6413    26.7900     1.7600    18.6183    29.4712   408.1300   154.7655  5462.8542   900.0000     0.0000     0.0000     0.0000     0.0000 
     -9.25    22.2500     0.0000  3500.0000    40.1003   658.8888    39.7300     1.8600    17.8962    30.2588   419.6900   116.6131  5473.3016   900.0000     0.0000     0.0000     0.0000     0.0000 
     -9.75    20.7500     0.0000  2500.0000    35.5220   657.1363    52.6700     1.9600    17.1741    31.0463   431.2500    78.4606  5483.7489   900.0000     0.0000     0.0000     0.0000     0.0000 
    -10.25    19.9688     0.0000  1968.7500    61.6935   618.0500   116.7775     1.8575    20.1894    42.4475   510.5425   205.7746  5385.4363   900.0000     0.0000     0.0000     0.0000     0.0000 
    -10.75    19.9062     0.0000  1906.2500   118.6149   541.6300   232.0525     1.5525    26.9420    64.4625   657.5675   498.5551  5178.3637   900.0000     0.0000     0.0000     0.0000     0.0000 
    -11.25    19.8438     0.0000  1843.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -11.75    19.7812     0.0000  1781.2500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -12.25    19.7188     0.0000  1718.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -12.75    19.6562     0.0000  1656.2500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -13.25    19.5938     0.0000  1593.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -13.75    19.5312     0.0000  1531.2500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -14.25    19.4688     0.0000  1468.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -14.75    19.4062     0.0000  1406.2500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -15.25    19.3438     0.0000  1343.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -15.75    19.2812     0.0000  1281.2500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -16.25    19.2188     0.0000  1218.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -16.75    19.1562     0.0000  1156.2500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -17.25    19.0938     0.0000  1093.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
    -17.25    19.0938     0.0000  1093.7500   147.0756   503.4200   289.6900     1.4000    30.3183    75.4700   731.0800   644.9453  5074.8273   900.0000     0.0000     0.0000     0.0000     0.0000 
