Open boundary condition file for si3d modelLake Pool Test Hg Model -
Time is in hours from day 2023-01-01 00:00:00 UTC    - 
Data for Inflow open boundary condition
(1) Time [hrs],  (2) Qin [m3/s], (3) T [oC], (4...) Tracers 
-------------------------------------------------- 
   npts  =   250
   15.1000    50.0000     4.0000    0.0000
   15.2000    50.0000     4.0000    0.0000
   15.3000    50.0000     4.0000    0.0000
   15.4000    50.0000     4.0000    0.0000
   15.5000    50.0000     4.0000    0.0000
   15.6000    50.0000     4.0000    0.0000
   15.7000    50.0000     4.0000    0.0000
   15.8000    50.0000     4.0000    0.0000
   15.9000    50.0000     4.0000    0.0000
   16.0000    50.0000     4.0000    0.0000
   16.1000    50.0000     4.0000    0.0000
   16.2000    50.0000     4.0000    0.0000
   16.3000    50.0000     4.0000    0.0000
   16.4000    50.0000     4.0000    0.0000
   16.5000    50.0000     4.0000    0.0000
   16.6000    50.0000     4.0000    0.0000
   16.7000    50.0000     4.0000    0.0000
   16.8000    50.0000     4.0000    0.0000
   16.9000    50.0000     4.0000    0.0000
   17.0000    50.0000     4.0000    0.0000
   17.1000    50.0000     4.0000    0.0000
   17.2000    50.0000     4.0000    0.0000
   17.3000    50.0000     4.0000    0.0000
   17.4000    50.0000     4.0000    0.0000
   17.5000    50.0000     4.0000    0.0000
   17.6000    50.0000     4.0000    0.0000
   17.7000    50.0000     4.0000    0.0000
   17.8000    50.0000     4.0000    0.0000
   17.9000    50.0000     4.0000    0.0000
   18.0000    50.0000     4.0000    0.0000
   18.1000    50.0000     4.0000    0.0000
   18.2000    50.0000     4.0000    0.0000
   18.3000    50.0000     4.0000    0.0000
   18.4000    50.0000     4.0000    0.0000
   18.5000    50.0000     4.0000    0.0000
   18.6000    50.0000     4.0000    0.0000
   18.7000    50.0000     4.0000    0.0000
   18.8000    50.0000     4.0000    0.0000
   18.9000    50.0000     4.0000    0.0000
   19.0000    50.0000     4.0000    0.0000
   19.1000    50.0000     4.0000    0.0000
   19.2000    50.0000     4.0000    0.0000
   19.3000    50.0000     4.0000    0.0000
   19.4000    50.0000     4.0000    0.0000
   19.5000    50.0000     4.0000    0.0000
   19.6000    50.0000     4.0000    0.0000
   19.7000    50.0000     4.0000    0.0000
   19.8000    50.0000     4.0000    0.0000
   19.9000    50.0000     4.0000    0.0000
   20.0000    50.0000     4.0000    0.0000
   20.1000    50.0000     4.0000    0.0000
   20.2000    50.0000     4.0000    0.0000
   20.3000    50.0000     4.0000    0.0000
   20.4000    50.0000     4.0000    0.0000
   20.5000    50.0000     4.0000    0.0000
   20.6000    50.0000     4.0000    0.0000
   20.7000    50.0000     4.0000    0.0000
   20.8000    50.0000     4.0000    0.0000
   20.9000    50.0000     4.0000    0.0000
   21.0000    50.0000     4.0000    0.0000
   21.1000    50.0000     4.0000    0.0000
   21.2000    50.0000     4.0000    0.0000
   21.3000    50.0000     4.0000    0.0000
   21.4000    50.0000     4.0000    0.0000
   21.5000    50.0000     4.0000    0.0000
   21.6000    50.0000     4.0000    0.0000
   21.7000    50.0000     4.0000    0.0000
   21.8000    50.0000     4.0000    0.0000
   21.9000    50.0000     4.0000    0.0000
   22.0000    50.0000     4.0000    0.0000
   22.1000    50.0000     4.0000    0.0000
   22.2000    50.0000     4.0000    0.0000
   22.3000    50.0000     4.0000    0.0000
   22.4000    50.0000     4.0000    0.0000
   22.5000    50.0000     4.0000    0.0000
   22.6000    50.0000     4.0000    0.0000
   22.7000    50.0000     4.0000    0.0000
   22.8000    50.0000     4.0000    0.0000
   22.9000    50.0000     4.0000    0.0000
   23.0000    50.0000     4.0000    0.0000
   23.1000    50.0000     4.0000    0.0000
   23.2000    50.0000     4.0000    0.0000
   23.3000    50.0000     4.0000    0.0000
   23.4000    50.0000     4.0000    0.0000
   23.5000    50.0000     4.0000    0.0000
   23.6000    50.0000     4.0000    0.0000
   23.7000    50.0000     4.0000    0.0000
   23.8000    50.0000     4.0000    0.0000
   23.9000    50.0000     4.0000    0.0000
   24.0000    50.0000     4.0000    0.0000
   24.1000    50.0000     4.0000    0.0000
   24.2000    50.0000     4.0000    0.0000
   24.3000    50.0000     4.0000    0.0000
   24.4000    50.0000     4.0000    0.0000
   24.5000    50.0000     4.0000    0.0000
   24.6000    50.0000     4.0000    0.0000
   24.7000    50.0000     4.0000    0.0000
   24.8000    50.0000     4.0000    0.0000
   24.9000    50.0000     4.0000    0.0000
